"Time","Category","Note","Income.Expense","Amount","Currency","X","X.1","Date"
"12/27/2021 13:45","Food","Lunch with barath","Expense",1.38,"USD",NA,NA,2021-12-27
"12/27/2021 12:33","Food","Coconut water with stu","Expense",0.6,"USD",NA,NA,2021-12-27
"12/25/2021 22:53","Food","Dinner with barath","Expense",6.048,"USD",NA,NA,2021-12-25
"12/25/2021 20:46","Transportation","Cab","Expense",3.672,"USD",NA,NA,2021-12-25
"12/25/2021 19:50","Self-development","Books","Expense",4.8,"USD",NA,NA,2021-12-25
"12/25/2021 17:01","Food","Corn","Expense",0.36,"USD",NA,NA,2021-12-25
"12/25/2021 15:35","Food","Water","Expense",0.36,"USD",NA,NA,2021-12-25
"12/25/2021 13:32","Food","Milk with bharath","Expense",0.48,"USD",NA,NA,2021-12-25
"12/24/2021 21:49","Social Life","Beer","Expense",1.8,"USD",NA,NA,2021-12-24
"12/24/2021 14:35","Food","Lunch with company","Expense",3.144,"USD",NA,NA,2021-12-24
"12/23/2021 16:31","Food","Lemon tea with company","Expense",0.18,"USD",NA,NA,2021-12-23
"12/23/2021 13:51","Food","Puffs and coffee","Expense",0.384,"USD",NA,NA,2021-12-23
"12/21/2021 20:53","Food","Dinner with barath","Expense",2.868,"USD",NA,NA,2021-12-21
"12/21/2021 14:02","Food","Puffs","Expense",0.3,"USD",NA,NA,2021-12-21
"12/21/2021 11:43","Food","Bun","Expense",0.216,"USD",NA,NA,2021-12-21
"12/20/2021 19:23","Food","Milk with bharath","Expense",0.96,"USD",NA,NA,2021-12-20
"12/20/2021 19:22","Transportation","Taxi","Expense",0.96,"USD",NA,NA,2021-12-20
"12/20/2021 16:55","Food","Snacks","Expense",0.24,"USD",NA,NA,2021-12-20
"12/20/2021 15:29","Food","Water","Expense",0.24,"USD",NA,NA,2021-12-20
"12/20/2021 13:35","Food","Lunch with barath","Expense",1.02,"USD",NA,NA,2021-12-20
"12/20/2021 9:46","Food","Milk with bharath","Expense",0.48,"USD",NA,NA,2021-12-20
"12/19/2021 15:51","Other","To siva","Expense",1.2,"USD",NA,NA,2021-12-19
"12/18/2021 21:01","Other","To kumara","Expense",1.2,"USD",NA,NA,2021-12-18
"12/18/2021 21:01","Other","To abijith","Expense",2.4,"USD",NA,NA,2021-12-18
